show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s226,TV Show,Echoes of Love,Zoya Akhtar,Shah Rukh Khan; Ram Charan; Ranbir Kapoor,Australia,"September 10, 2015",1989,TV-G,2 Seasons,"Comedies, Kids' TV, Anime","A heartfelt Comedies exploring family, friendship, and dreams in Australia."
s227,Movie,Mystery of Code,Anubhav Sinha,Ram Charan; Deepika Padukone; Emma Stone; Shah Rukh Khan,Australia,"November 20, 2024",1995,R,118 min,"Comedies, Dramas, Kids' TV","A Comedies story set in Australia, following Deepika Padukone on an unexpected journey."
s228,TV Show,Secret of Love,Martin Scorsese,Scarlett Johansson; N. T. Rama Rao Jr.,Canada,"May 31, 2016",1982,R,2 Seasons,"Thrillers, Sci-Fi & Fantasy, Action & Adventure","In Canada, a group of strangers cross paths in this emotional Thrillers."
s229,Movie,Rise of Kota,S. S. Rajamouli,N. T. Rama Rao Jr.; Deepika Padukone; Leonardo DiCaprio,Spain,"October 29, 2020",2009,TV-G,81 min,"Mystery, Comedies, Romantic Movies","A heartfelt Mystery exploring family, friendship, and dreams in Spain."
s230,Movie,Escape from Destiny,S. S. Rajamouli,Alia Bhatt; N. T. Rama Rao Jr.; Ranbir Kapoor; Deepika Padukone,Germany,"November 04, 2024",2006,PG-13,129 min,"Thrillers, Kids' TV, Mystery","In Germany, a group of strangers cross paths in this emotional Thrillers."
s231,TV Show,Secret of Queens,Martin Scorsese,N. T. Rama Rao Jr.; Chris Hemsworth; Scarlett Johansson; Leonardo DiCaprio,Mexico,"August 31, 2017",1983,TV-PG,8 Seasons,"Documentaries, Dramas, Romantic Movies","In Mexico, a group of strangers cross paths in this emotional Documentaries."
s232,TV Show,Chronicles of Memories,Zoya Akhtar,Alia Bhatt; Ram Charan; Vijay Deverakonda; Prabhas,Spain,"May 05, 2023",2008,TV-G,6 Seasons,"Documentaries, Thrillers, Comedies","When everything goes wrong, Ram Charan must fight to set things right in this Documentaries."
s233,TV Show,Chronicles of Code,Rajkumar Hirani,Robert Downey Jr.; Deepika Padukone; N. T. Rama Rao Jr.,United Kingdom,"September 26, 2015",1999,TV-PG,7 Seasons,"Action & Adventure, Sci-Fi & Fantasy","A Action & Adventure story set in United Kingdom, following Robert Downey Jr. on an unexpected journey."
s234,Movie,City of Destiny,Christopher Nolan,Robert Downey Jr.; Dhanush; Leonardo DiCaprio,Mexico,"March 26, 2017",1997,PG-13,139 min,"Crime TV Shows, Mystery, Comedies","In Mexico, a group of strangers cross paths in this emotional Crime TV Shows."
s235,TV Show,The Last Time,Patty Jenkins,Leonardo DiCaprio; Ram Charan; Shah Rukh Khan,Australia,"March 08, 2021",2002,PG-13,3 Seasons,"Documentaries, Horror Movies","Leonardo DiCaprio stars in this gripping Documentaries about choices, fate, and second chances."
s236,Movie,Voices in Kota,David Fincher,Shah Rukh Khan; Emma Stone; Alia Bhatt; Ranbir Kapoor,Brazil,"August 05, 2019",2012,TV-MA,179 min,"Thrillers, Anime","A heartfelt Thrillers exploring family, friendship, and dreams in Brazil."
s237,Movie,Legend of Warrior,David Fincher,Tom Cruise; Ryan Gosling; Dhanush,Brazil,"February 01, 2018",2007,R,124 min,"Anime, Sci-Fi & Fantasy, Crime TV Shows","A heartfelt Anime exploring family, friendship, and dreams in Brazil."
s238,TV Show,Return of Silence,Patty Jenkins,Chris Hemsworth; Deepika Padukone,Brazil,"June 16, 2024",2003,PG,5 Seasons,"Documentaries, Crime TV Shows","In Brazil, a group of strangers cross paths in this emotional Documentaries."
s239,TV Show,City of Memories,Greta Gerwig,Tom Cruise; Alia Bhatt; Prabhas; Deepika Padukone,Canada,"August 21, 2015",2005,TV-PG,6 Seasons,"Thrillers, Dramas","In Canada, a group of strangers cross paths in this emotional Thrillers."
s240,TV Show,Battle for Storm,Anubhav Sinha,Robert Downey Jr.; Tom Cruise; Ryan Gosling,Australia,"February 25, 2024",1992,PG-13,4 Seasons,"Thrillers, Mystery, Horror Movies","A heartfelt Thrillers exploring family, friendship, and dreams in Australia."
s241,Movie,Chronicles of Silence,Greta Gerwig,Vijay Deverakonda; Prabhas,Mexico,"November 25, 2017",2015,TV-G,103 min,"Thrillers, Mystery, Comedies","In Mexico, a group of strangers cross paths in this emotional Thrillers."
s242,TV Show,Voices in Revenge,Karan Johar,Deepika Padukone; Tom Cruise; Ranbir Kapoor,South Korea,"July 18, 2024",1987,R,1 Seasons,"Thrillers, Anime","A Thrillers story set in South Korea, following Ranbir Kapoor on an unexpected journey."
s243,TV Show,Secret of Kings,Rajkumar Hirani,Ram Charan; Chris Hemsworth; Vijay Deverakonda,United Kingdom,"July 16, 2016",1992,PG-13,7 Seasons,"Kids' TV, Action & Adventure, Horror Movies","A Kids' TV story set in United Kingdom, following Ram Charan on an unexpected journey."
s244,TV Show,Echoes of Queens,Karan Johar,Leonardo DiCaprio; Vijay Deverakonda; Emma Stone; Chris Hemsworth,United States,"January 26, 2020",1997,TV-14,3 Seasons,"Kids' TV, Anime","Leonardo DiCaprio stars in this gripping Kids' TV about choices, fate, and second chances."
s245,TV Show,Echoes of Universe,James Cameron,N. T. Rama Rao Jr.; Scarlett Johansson; Shah Rukh Khan,France,"January 20, 2015",1982,PG,4 Seasons,"Mystery, Dramas, Horror Movies","Shah Rukh Khan stars in this gripping Mystery about choices, fate, and second chances."
s246,Movie,Legend of Kota,James Cameron,Shah Rukh Khan; Alia Bhatt,Mexico,"November 01, 2024",2002,PG-13,96 min,"Comedies, Kids' TV, Thrillers","A Comedies story set in Mexico, following Shah Rukh Khan on an unexpected journey."
s247,TV Show,Chronicles of Kings,Greta Gerwig,Emma Stone; Scarlett Johansson; Vijay Deverakonda,United Kingdom,"November 04, 2018",2011,PG-13,4 Seasons,"Action & Adventure, Dramas, Documentaries","Emma Stone stars in this gripping Action & Adventure about choices, fate, and second chances."
s248,Movie,The Last Warrior,Patty Jenkins,Leonardo DiCaprio; Robert Downey Jr.; Vijay Deverakonda; Ryan Gosling,Brazil,"November 19, 2023",1982,R,161 min,"Documentaries, Thrillers","A Documentaries story set in Brazil, following Leonardo DiCaprio on an unexpected journey."
s249,Movie,Dreams of Warrior,Spike Lee,Ram Charan; Shah Rukh Khan,France,"May 21, 2016",2015,PG-13,140 min,"Mystery, Sci-Fi & Fantasy","In France, a group of strangers cross paths in this emotional Mystery."
s250,TV Show,Return of Queens,James Cameron,Deepika Padukone; Tom Cruise,Australia,"November 10, 2022",1988,R,2 Seasons,"Crime TV Shows, Documentaries","When everything goes wrong, Deepika Padukone must fight to set things right in this Crime TV Shows."
s251,Movie,Battle for Memories,Patty Jenkins,Deepika Padukone; Ram Charan,Japan,"April 06, 2017",2002,TV-PG,132 min,"Documentaries, Dramas","When everything goes wrong, Deepika Padukone must fight to set things right in this Documentaries."
s252,TV Show,Return of Kings,David Fincher,Chris Hemsworth; Emma Stone,India,"March 28, 2016",2016,TV-PG,8 Seasons,"Action & Adventure, Kids' TV","In India, a group of strangers cross paths in this emotional Action & Adventure."
s253,Movie,Journey to Kings,Zoya Akhtar,Deepika Padukone; Shah Rukh Khan; Chris Hemsworth,India,"February 13, 2024",1991,TV-G,85 min,"Documentaries, Mystery, Romantic Movies","A Documentaries story set in India, following Deepika Padukone on an unexpected journey."
s254,Movie,Return of Time,Christopher Nolan,Leonardo DiCaprio; Vijay Deverakonda,Germany,"November 28, 2019",2019,PG-13,173 min,"Comedies, Romantic Movies, Sci-Fi & Fantasy","When everything goes wrong, Vijay Deverakonda must fight to set things right in this Comedies."
s255,TV Show,Voices in Love,Anubhav Sinha,Vijay Deverakonda; N. T. Rama Rao Jr.; Scarlett Johansson; Emma Stone,United Kingdom,"April 08, 2016",1988,TV-PG,1 Seasons,"Action & Adventure, Anime","A heartfelt Action & Adventure exploring family, friendship, and dreams in United Kingdom."
s256,TV Show,Escape from Destiny,Martin Scorsese,N. T. Rama Rao Jr.; Vijay Deverakonda; Leonardo DiCaprio; Tom Cruise,United States,"September 03, 2024",2023,TV-G,3 Seasons,"Anime, Comedies, Romantic Movies","In United States, a group of strangers cross paths in this emotional Anime."
s257,TV Show,Shadows of Warrior,Christopher Nolan,Shah Rukh Khan; Emma Stone; Ram Charan; Leonardo DiCaprio,Japan,"November 12, 2020",2019,TV-MA,7 Seasons,"Thrillers, Anime","Leonardo DiCaprio stars in this gripping Thrillers about choices, fate, and second chances."
s258,Movie,Legend of Destiny,Christopher Nolan,Leonardo DiCaprio; Deepika Padukone; Ram Charan; Shah Rukh Khan,South Korea,"October 01, 2024",1990,TV-MA,176 min,"Anime, Sci-Fi & Fantasy, Horror Movies","A heartfelt Anime exploring family, friendship, and dreams in South Korea."
s259,TV Show,Escape from Kings,Anubhav Sinha,Prabhas; Shah Rukh Khan,South Korea,"December 26, 2023",2016,R,2 Seasons,"Anime, Horror Movies, Comedies","A Anime story set in South Korea, following Prabhas on an unexpected journey."
s260,TV Show,City of Memories,Anubhav Sinha,Chris Hemsworth; Ram Charan,India,"November 18, 2023",2018,PG,5 Seasons,"Crime TV Shows, Mystery","In India, a group of strangers cross paths in this emotional Crime TV Shows."
s261,Movie,Echoes of Warrior,David Fincher,Emma Stone; Deepika Padukone; N. T. Rama Rao Jr.,Australia,"September 23, 2021",2010,TV-PG,164 min,"Horror Movies, Comedies, Mystery","A Horror Movies story set in Australia, following Emma Stone on an unexpected journey."
s262,TV Show,Mystery of Revenge,Karan Johar,Tom Cruise; Deepika Padukone; Dhanush; Leonardo DiCaprio,Mexico,"March 11, 2016",1982,TV-14,8 Seasons,"Action & Adventure, Comedies, Horror Movies","A Action & Adventure story set in Mexico, following Deepika Padukone on an unexpected journey."
s263,TV Show,Battle for Kota,David Fincher,Scarlett Johansson; Ryan Gosling; Leonardo DiCaprio,India,"June 29, 2023",2006,TV-MA,2 Seasons,"Anime, Mystery, Thrillers","A Anime story set in India, following Ryan Gosling on an unexpected journey."
s264,Movie,City of Love,Rajkumar Hirani,Vijay Deverakonda; Dhanush; Deepika Padukone,United Kingdom,"October 04, 2022",2017,TV-14,173 min,"Action & Adventure, Anime","In United Kingdom, a group of strangers cross paths in this emotional Action & Adventure."
s265,TV Show,Dreams of Kings,Anubhav Sinha,Shah Rukh Khan; Ranbir Kapoor; Scarlett Johansson; Leonardo DiCaprio,Spain,"January 29, 2020",1988,TV-14,7 Seasons,"Kids' TV, Crime TV Shows, Horror Movies","Ranbir Kapoor stars in this gripping Kids' TV about choices, fate, and second chances."
s266,Movie,Battle for Memories,Patty Jenkins,Tom Cruise; Emma Stone; Leonardo DiCaprio; Dhanush,United Kingdom,"December 19, 2022",2021,TV-14,144 min,"Crime TV Shows, Comedies, Horror Movies","A heartfelt Crime TV Shows exploring family, friendship, and dreams in United Kingdom."
s267,TV Show,City of Storm,Anubhav Sinha,Alia Bhatt; Chris Hemsworth,France,"August 18, 2016",1983,TV-PG,1 Seasons,"Sci-Fi & Fantasy, Action & Adventure, Horror Movies","A Sci-Fi & Fantasy story set in France, following Alia Bhatt on an unexpected journey."
s268,TV Show,Echoes of Queens,David Fincher,Robert Downey Jr.; Leonardo DiCaprio; Ram Charan; Shah Rukh Khan,India,"November 28, 2021",2015,TV-G,4 Seasons,"Mystery, Sci-Fi & Fantasy, Crime TV Shows","A Mystery story set in India, following Ram Charan on an unexpected journey."
s269,TV Show,Dreams of Love,Anubhav Sinha,Emma Stone; Deepika Padukone; Chris Hemsworth,United States,"May 05, 2023",1996,TV-14,8 Seasons,"Sci-Fi & Fantasy, Thrillers, Kids' TV","Emma Stone stars in this gripping Sci-Fi & Fantasy about choices, fate, and second chances."
s270,TV Show,Legend of Kota,Zoya Akhtar,Prabhas; Vijay Deverakonda,United Kingdom,"March 30, 2023",2012,TV-MA,7 Seasons,"Dramas, Horror Movies, Kids' TV","A heartfelt Dramas exploring family, friendship, and dreams in United Kingdom."
s271,TV Show,Battle for Silence,Christopher Nolan,Dhanush; Ryan Gosling; Prabhas,United States,"September 21, 2016",2000,PG,1 Seasons,"Thrillers, Anime, Kids' TV","In United States, a group of strangers cross paths in this emotional Thrillers."
s272,Movie,City of Silence,Martin Scorsese,Prabhas; N. T. Rama Rao Jr.; Deepika Padukone; Vijay Deverakonda,France,"February 02, 2021",2014,R,91 min,"Horror Movies, Sci-Fi & Fantasy","In France, a group of strangers cross paths in this emotional Horror Movies."
s273,TV Show,Mystery of Code,David Fincher,Vijay Deverakonda; Deepika Padukone; Ram Charan; N. T. Rama Rao Jr.,Brazil,"February 06, 2015",1987,TV-PG,6 Seasons,"Anime, Mystery","A Anime story set in Brazil, following Deepika Padukone on an unexpected journey."
s274,TV Show,Legend of Code,Anubhav Sinha,N. T. Rama Rao Jr.; Ranbir Kapoor,Japan,"February 13, 2023",1998,TV-MA,6 Seasons,"Crime TV Shows, Anime, Dramas","In Japan, a group of strangers cross paths in this emotional Crime TV Shows."
s275,Movie,Battle for Universe,S. S. Rajamouli,Chris Hemsworth; Emma Stone,India,"May 13, 2017",1993,TV-G,167 min,"Romantic Movies, Sci-Fi & Fantasy","A Romantic Movies story set in India, following Emma Stone on an unexpected journey."
s276,Movie,Secret of Revenge,Christopher Nolan,Emma Stone; Chris Hemsworth; Robert Downey Jr.,India,"August 11, 2015",1991,TV-G,112 min,"Crime TV Shows, Thrillers","When everything goes wrong, Chris Hemsworth must fight to set things right in this Crime TV Shows."
s277,TV Show,The Last Kings,Zoya Akhtar,N. T. Rama Rao Jr.; Scarlett Johansson; Leonardo DiCaprio; Chris Hemsworth,France,"July 20, 2022",1987,PG,1 Seasons,"Thrillers, Kids' TV","In France, a group of strangers cross paths in this emotional Thrillers."
s278,Movie,Chronicles of Kota,Greta Gerwig,Tom Cruise; Vijay Deverakonda; Robert Downey Jr.; Ranbir Kapoor,South Korea,"April 12, 2019",2005,TV-G,164 min,"Dramas, Sci-Fi & Fantasy, Kids' TV","A heartfelt Dramas exploring family, friendship, and dreams in South Korea."
s279,TV Show,Mystery of Love,James Cameron,Tom Cruise; Emma Stone,Mexico,"April 07, 2022",2003,TV-MA,3 Seasons,"Comedies, Dramas","A heartfelt Comedies exploring family, friendship, and dreams in Mexico."
s280,Movie,Secret of Storm,Greta Gerwig,Ryan Gosling; Alia Bhatt,France,"March 30, 2022",2012,TV-14,100 min,"Action & Adventure, Thrillers","A Action & Adventure story set in France, following Ryan Gosling on an unexpected journey."
s281,Movie,Return of Revenge,James Cameron,Robert Downey Jr.; Ram Charan; N. T. Rama Rao Jr.; Deepika Padukone,South Korea,"March 25, 2022",2015,TV-MA,117 min,"Thrillers, Documentaries","In South Korea, a group of strangers cross paths in this emotional Thrillers."
s282,TV Show,Mystery of Love,Martin Scorsese,Shah Rukh Khan; Robert Downey Jr.; Ranbir Kapoor; Tom Cruise,India,"March 03, 2017",2000,R,8 Seasons,"Horror Movies, Thrillers, Action & Adventure","In India, a group of strangers cross paths in this emotional Horror Movies."
s283,TV Show,Dreams of Silence,Martin Scorsese,Emma Stone; Alia Bhatt,Canada,"December 27, 2022",2021,R,5 Seasons,"Horror Movies, Mystery","When everything goes wrong, Alia Bhatt must fight to set things right in this Horror Movies."
s284,TV Show,Dreams of Code,Karan Johar,Vijay Deverakonda; Deepika Padukone; Robert Downey Jr.,United Kingdom,"March 29, 2022",2018,TV-MA,5 Seasons,"Action & Adventure, Horror Movies","A Action & Adventure story set in United Kingdom, following Robert Downey Jr. on an unexpected journey."
s285,Movie,Escape from Warrior,Christopher Nolan,Chris Hemsworth; Ram Charan; Tom Cruise; Dhanush,France,"August 17, 2023",2017,TV-14,84 min,"Crime TV Shows, Kids' TV, Mystery","In France, a group of strangers cross paths in this emotional Crime TV Shows."
s286,TV Show,City of Kota,David Fincher,Tom Cruise; Prabhas; Shah Rukh Khan; Deepika Padukone,Japan,"January 06, 2016",2005,PG-13,1 Seasons,"Thrillers, Kids' TV","When everything goes wrong, Prabhas must fight to set things right in this Thrillers."
s287,Movie,Shadows of Revenge,Martin Scorsese,Ranbir Kapoor; Ryan Gosling; Dhanush; Shah Rukh Khan,Germany,"June 15, 2015",1994,TV-G,142 min,"Sci-Fi & Fantasy, Horror Movies","Ranbir Kapoor stars in this gripping Sci-Fi & Fantasy about choices, fate, and second chances."
s288,TV Show,Mystery of Kota,Anubhav Sinha,Dhanush; Vijay Deverakonda; Chris Hemsworth,United States,"April 10, 2022",2000,TV-MA,5 Seasons,"Mystery, Kids' TV, Crime TV Shows","When everything goes wrong, Vijay Deverakonda must fight to set things right in this Mystery."
s289,TV Show,Battle for Code,Patty Jenkins,Prabhas; Deepika Padukone; Ranbir Kapoor; Scarlett Johansson,Canada,"October 16, 2020",2005,PG-13,6 Seasons,"Anime, Thrillers, Dramas","When everything goes wrong, Deepika Padukone must fight to set things right in this Anime."
s290,Movie,Chronicles of Time,David Fincher,Deepika Padukone; Alia Bhatt,United Kingdom,"February 04, 2017",1990,PG-13,157 min,"Mystery, Thrillers","A Mystery story set in United Kingdom, following Alia Bhatt on an unexpected journey."
s291,TV Show,Mystery of Kota,James Cameron,Vijay Deverakonda; Alia Bhatt; Tom Cruise,United Kingdom,"April 05, 2022",2006,TV-MA,4 Seasons,"Dramas, Thrillers","A heartfelt Dramas exploring family, friendship, and dreams in United Kingdom."
s292,Movie,Secret of Storm,Patty Jenkins,Robert Downey Jr.; Prabhas,Spain,"January 07, 2017",2013,R,156 min,"Kids' TV, Mystery","Robert Downey Jr. stars in this gripping Kids' TV about choices, fate, and second chances."
s293,TV Show,Voices in Memories,Patty Jenkins,Vijay Deverakonda; Prabhas; Alia Bhatt,France,"September 27, 2021",1989,TV-G,3 Seasons,"Kids' TV, Action & Adventure, Horror Movies","A heartfelt Kids' TV exploring family, friendship, and dreams in France."
s294,Movie,Return of Kota,David Fincher,N. T. Rama Rao Jr.; Prabhas; Robert Downey Jr.,United States,"April 08, 2017",2013,TV-G,144 min,"Thrillers, Action & Adventure, Kids' TV","A heartfelt Thrillers exploring family, friendship, and dreams in United States."
s295,Movie,Shadows of Universe,Rajkumar Hirani,Alia Bhatt; Robert Downey Jr.; Shah Rukh Khan; Emma Stone,United Kingdom,"October 07, 2021",2014,TV-G,80 min,"Thrillers, Crime TV Shows, Romantic Movies","A heartfelt Thrillers exploring family, friendship, and dreams in United Kingdom."
s296,TV Show,Voices in Universe,David Fincher,N. T. Rama Rao Jr.; Leonardo DiCaprio; Tom Cruise,Mexico,"July 17, 2023",2016,TV-MA,7 Seasons,"Action & Adventure, Crime TV Shows, Documentaries","In Mexico, a group of strangers cross paths in this emotional Action & Adventure."
s297,TV Show,City of Revenge,Greta Gerwig,Chris Hemsworth; Ryan Gosling,Mexico,"November 08, 2023",1980,PG,2 Seasons,"Crime TV Shows, Romantic Movies","When everything goes wrong, Ryan Gosling must fight to set things right in this Crime TV Shows."
s298,TV Show,City of Time,S. S. Rajamouli,Ram Charan; Emma Stone,Australia,"November 04, 2017",1996,TV-G,7 Seasons,"Kids' TV, Thrillers, Documentaries","When everything goes wrong, Ram Charan must fight to set things right in this Kids' TV."
s299,TV Show,Escape from Queens,Martin Scorsese,Vijay Deverakonda; Ranbir Kapoor; Dhanush,Australia,"November 11, 2018",2005,TV-PG,3 Seasons,"Thrillers, Sci-Fi & Fantasy","Dhanush stars in this gripping Thrillers about choices, fate, and second chances."
s300,Movie,Secret of Kota,David Fincher,N. T. Rama Rao Jr.; Vijay Deverakonda; Leonardo DiCaprio; Dhanush,Japan,"November 20, 2021",1983,TV-14,129 min,"Thrillers, Comedies","A heartfelt Thrillers exploring family, friendship, and dreams in Japan."
s301,TV Show,Echoes of Universe,S. S. Rajamouli,Deepika Padukone; Alia Bhatt,Germany,"November 24, 2015",1982,TV-PG,7 Seasons,"Romantic Movies, Thrillers, Dramas","When everything goes wrong, Deepika Padukone must fight to set things right in this Romantic Movies."
s302,TV Show,The Last Silence,Christopher Nolan,Tom Cruise; Alia Bhatt,United States,"October 17, 2023",2018,PG,4 Seasons,"Kids' TV, Mystery","A Kids' TV story set in United States, following Tom Cruise on an unexpected journey."
s303,Movie,Battle for Storm,S. S. Rajamouli,N. T. Rama Rao Jr.; Leonardo DiCaprio; Emma Stone,France,"July 19, 2019",2017,TV-14,146 min,"Dramas, Action & Adventure","A heartfelt Dramas exploring family, friendship, and dreams in France."
s304,TV Show,Battle for Empire,Karan Johar,Shah Rukh Khan; Tom Cruise; Alia Bhatt,South Korea,"July 13, 2019",2016,TV-MA,5 Seasons,"Action & Adventure, Kids' TV, Comedies","In South Korea, a group of strangers cross paths in this emotional Action & Adventure."
s305,TV Show,Voices in Love,S. S. Rajamouli,Deepika Padukone; Dhanush; Vijay Deverakonda; N. T. Rama Rao Jr.,Australia,"October 21, 2017",2008,R,8 Seasons,"Sci-Fi & Fantasy, Crime TV Shows, Mystery","When everything goes wrong, Deepika Padukone must fight to set things right in this Sci-Fi & Fantasy."
s306,Movie,The Last Kings,Greta Gerwig,N. T. Rama Rao Jr.; Emma Stone,Canada,"August 04, 2022",1994,TV-G,120 min,"Romantic Movies, Kids' TV, Mystery","Emma Stone stars in this gripping Romantic Movies about choices, fate, and second chances."
s307,TV Show,Escape from Kings,S. S. Rajamouli,Emma Stone; Robert Downey Jr.; Deepika Padukone,United Kingdom,"May 05, 2020",2000,PG-13,4 Seasons,"Kids' TV, Action & Adventure, Sci-Fi & Fantasy","Emma Stone stars in this gripping Kids' TV about choices, fate, and second chances."
s308,Movie,City of Warrior,Greta Gerwig,Shah Rukh Khan; Alia Bhatt,Canada,"May 18, 2024",2019,PG-13,99 min,"Comedies, Action & Adventure","A heartfelt Comedies exploring family, friendship, and dreams in Canada."
s309,Movie,Legend of Time,Rajkumar Hirani,Vijay Deverakonda; Leonardo DiCaprio,Australia,"July 15, 2018",2011,PG,115 min,"Anime, Kids' TV","A heartfelt Anime exploring family, friendship, and dreams in Australia."
s310,Movie,Escape from Silence,Christopher Nolan,Ram Charan; Shah Rukh Khan; Deepika Padukone; Chris Hemsworth,Japan,"November 23, 2018",2005,TV-G,167 min,"Action & Adventure, Comedies, Kids' TV","A Action & Adventure story set in Japan, following Ram Charan on an unexpected journey."
s311,Movie,Shadows of Kota,Anubhav Sinha,Alia Bhatt; Leonardo DiCaprio; Dhanush; Tom Cruise,Spain,"February 05, 2017",2015,PG-13,110 min,"Documentaries, Thrillers, Romantic Movies","When everything goes wrong, Tom Cruise must fight to set things right in this Documentaries."
s312,Movie,Dreams of Storm,Anubhav Sinha,Ryan Gosling; Leonardo DiCaprio; Ram Charan; Scarlett Johansson,Spain,"January 21, 2020",1991,PG,96 min,"Kids' TV, Comedies","A heartfelt Kids' TV exploring family, friendship, and dreams in Spain."
s313,TV Show,Voices in Universe,Anubhav Sinha,Ranbir Kapoor; N. T. Rama Rao Jr.,Mexico,"September 04, 2016",2010,TV-G,1 Seasons,"Action & Adventure, Crime TV Shows, Sci-Fi & Fantasy","When everything goes wrong, N. T. Rama Rao Jr. must fight to set things right in this Action & Adventure."
s314,TV Show,Dreams of Silence,Greta Gerwig,Robert Downey Jr.; Scarlett Johansson; Vijay Deverakonda; Ryan Gosling,United Kingdom,"September 03, 2015",1993,TV-G,5 Seasons,"Anime, Crime TV Shows","In United Kingdom, a group of strangers cross paths in this emotional Anime."
s315,TV Show,Escape from Queens,Rajkumar Hirani,Deepika Padukone; Leonardo DiCaprio; Chris Hemsworth; Scarlett Johansson,India,"December 09, 2018",2018,TV-14,3 Seasons,"Documentaries, Romantic Movies, Kids' TV","A Documentaries story set in India, following Scarlett Johansson on an unexpected journey."
s316,TV Show,Shadows of Revenge,Patty Jenkins,Dhanush; Emma Stone; Prabhas,United Kingdom,"March 08, 2022",2001,R,7 Seasons,"Comedies, Sci-Fi & Fantasy","In United Kingdom, a group of strangers cross paths in this emotional Comedies."
s317,TV Show,Secret of Destiny,Spike Lee,N. T. Rama Rao Jr.; Ranbir Kapoor; Shah Rukh Khan,Germany,"May 22, 2023",2017,PG,8 Seasons,"Romantic Movies, Action & Adventure","N. T. Rama Rao Jr. stars in this gripping Romantic Movies about choices, fate, and second chances."
s318,TV Show,Return of Storm,Spike Lee,Prabhas; Alia Bhatt; Vijay Deverakonda; Scarlett Johansson,India,"January 27, 2016",1984,R,1 Seasons,"Dramas, Kids' TV, Action & Adventure","A Dramas story set in India, following Alia Bhatt on an unexpected journey."
s319,TV Show,Shadows of Universe,Greta Gerwig,Shah Rukh Khan; Ryan Gosling,Spain,"December 21, 2019",1988,TV-14,3 Seasons,"Dramas, Mystery","When everything goes wrong, Ryan Gosling must fight to set things right in this Dramas."
s320,TV Show,Battle for Revenge,Rajkumar Hirani,Dhanush; Prabhas; Ryan Gosling,Japan,"December 26, 2016",2009,TV-PG,7 Seasons,"Crime TV Shows, Horror Movies, Anime","When everything goes wrong, Dhanush must fight to set things right in this Crime TV Shows."
s321,TV Show,The Last Kings,Karan Johar,Deepika Padukone; Prabhas; Ranbir Kapoor,United States,"January 01, 2015",2013,TV-G,3 Seasons,"Horror Movies, Crime TV Shows, Kids' TV","When everything goes wrong, Prabhas must fight to set things right in this Horror Movies."
s322,TV Show,Rise of Kings,Christopher Nolan,Tom Cruise; Vijay Deverakonda; Alia Bhatt,United States,"February 23, 2021",2003,TV-14,7 Seasons,"Crime TV Shows, Romantic Movies, Sci-Fi & Fantasy","When everything goes wrong, Alia Bhatt must fight to set things right in this Crime TV Shows."
s323,TV Show,Secret of Empire,David Fincher,Prabhas; Scarlett Johansson; Emma Stone,Canada,"October 17, 2020",2019,TV-G,5 Seasons,"Documentaries, Anime, Sci-Fi & Fantasy","Prabhas stars in this gripping Documentaries about choices, fate, and second chances."
s324,TV Show,Battle for Destiny,S. S. Rajamouli,Dhanush; Tom Cruise; Shah Rukh Khan; Ranbir Kapoor,Mexico,"December 25, 2021",2011,TV-14,6 Seasons,"Dramas, Comedies","A Dramas story set in Mexico, following Tom Cruise on an unexpected journey."
s325,TV Show,Journey to Storm,Greta Gerwig,Dhanush; Ryan Gosling,United States,"August 11, 2017",1985,TV-14,1 Seasons,"Anime, Horror Movies","In United States, a group of strangers cross paths in this emotional Anime."
s326,TV Show,Voices in Universe,Spike Lee,Emma Stone; Robert Downey Jr.,United Kingdom,"August 18, 2015",1997,TV-G,7 Seasons,"Comedies, Sci-Fi & Fantasy, Documentaries","When everything goes wrong, Robert Downey Jr. must fight to set things right in this Comedies."
s327,Movie,City of Revenge,S. S. Rajamouli,Shah Rukh Khan; Scarlett Johansson; N. T. Rama Rao Jr.; Vijay Deverakonda,Canada,"April 10, 2023",1982,TV-14,138 min,"Mystery, Crime TV Shows","When everything goes wrong, Vijay Deverakonda must fight to set things right in this Mystery."
s328,TV Show,Voices in Destiny,Karan Johar,Robert Downey Jr.; Ryan Gosling,Japan,"November 03, 2020",1987,PG-13,8 Seasons,"Thrillers, Sci-Fi & Fantasy, Horror Movies","A Thrillers story set in Japan, following Robert Downey Jr. on an unexpected journey."
s329,Movie,Echoes of Kings,James Cameron,Emma Stone; Chris Hemsworth; Prabhas,Spain,"July 22, 2021",1987,R,111 min,"Dramas, Thrillers","A heartfelt Dramas exploring family, friendship, and dreams in Spain."
s330,Movie,City of Kota,Karan Johar,Shah Rukh Khan; Prabhas,South Korea,"January 10, 2016",2001,TV-G,160 min,"Dramas, Romantic Movies","Shah Rukh Khan stars in this gripping Dramas about choices, fate, and second chances."
s331,TV Show,Voices in Destiny,David Fincher,Ryan Gosling; N. T. Rama Rao Jr.; Shah Rukh Khan,Mexico,"March 01, 2017",1981,TV-PG,7 Seasons,"Horror Movies, Documentaries","When everything goes wrong, N. T. Rama Rao Jr. must fight to set things right in this Horror Movies."
